Región,Distrito,Municipio Escolar,Código de la Escuela,Nombre Escuela,Matrícula M1,Matrícula M1 entre 5 y 17 años de edad,M1 entre 5 y 17 años de edad Bajo Nivel Pobreza,Porcentaje de Estudiantes Bajo el Nivel de Pobreza (BNP)
ARECIBO,CAMUY,CAMUY,11072,INTERMEDIA ROMAN  BALDORIOTY DE CASTRO,276,276,199,72.1%
ARECIBO,CAMUY,CAMUY,11080,PEDRO AMADOR,177,161,138,85.71%
ARECIBO,CAMUY,CAMUY,11756,LUIS FELIPE RODRIGUEZ,396,382,267,69.9%
ARECIBO,CAMUY,CAMUY,17327,SUPERIOR MIGUEL F. SANTIAGO ECHEGARAY,322,303,227,74.92%
ARECIBO,CAMUY,CAMUY,17384,LUIS F. CRESPO (SUP. NUEVA),667,649,467,71.96%
ARECIBO,CAMUY,CAMUY,17467,AMALIA LOPEZ DE AVILA,189,169,130,76.92%
ARECIBO,CAMUY,LARES,11536,PILETAS ARCE,116,111,91,81.98%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,223,215,176,81.86%
ARECIBO,CAMUY,LARES,11643,DOMINGO APONTE COLLAZO,901,863,637,73.81%
ARECIBO,CAMUY,LARES,11650,CONSUELO GONZALEZ,126,121,110,90.91%
ARECIBO,CAMUY,LARES,11718,GONZALEZ BELLO,110,102,64,62.75%
ARECIBO,CAMUY,LARES,11767,JUAN C. PAGAN,254,242,189,78.1%
ARECIBO,CAMUY,LARES,11908,JULIO LEBRON (RABANOS ELEM.),204,176,132,75%
ARECIBO,CAMUY,LARES,11916,RAFAEL MARTINEZ NADAL,180,170,122,71.76%
ARECIBO,CAMUY,LARES,11924,MANUEL  ROJAS LUZARDO (S.U.BARTOLO),129,112,99,88.39%
ARECIBO,CAMUY,LARES,11932,S. U. ANGELICA DELGADO (S.U. AMERICA),690,668,557,83.38%
ARECIBO,CAMUY,LARES,11940,S. U. JOSEFINA LINARES,209,177,135,76.27%
ARECIBO,CAMUY,LARES,11957,DON IGNACIO DICUPE GONZALEZ,269,235,179,76.17%
ARECIBO,CAMUY,LARES,12005,GEORGE WASHINGTON,137,128,107,83.59%
ARECIBO,CAMUY,LARES,14480,MARIANO REYES CUEBAS,173,173,132,76.3%
ARECIBO,CAMUY,LARES,15917,RAMON DE JESUS SIERRA,502,498,384,77.11%
ARECIBO,CAMUY,LARES,17673,ELEMENTAL DANIEL VELEZ SOTO,313,263,218,82.89%
ARECIBO,CAMUY,LARES,18226,INTERMEDIA BO. PILETAS (INTERMEDIA NUEVA),321,321,264,82.24%
ARECIBO,CAMUY,QUEBRADILLAS,12799,RAMON EMETERIO BETANCES,419,383,350,91.38%
ARECIBO,CAMUY,QUEBRADILLAS,12807,S. U. EUGENIO MARIA DE HOSTOS,186,180,156,86.67%
ARECIBO,CAMUY,QUEBRADILLAS,12849,JOSE DE DIEGO,114,107,73,68.22%
ARECIBO,CAMUY,QUEBRADILLAS,12872,DR. PEDRO ALBIZU CAMPOS,295,294,240,81.63%
ARECIBO,CAMUY,QUEBRADILLAS,12880,RAMON AVILA MOLINARI,190,178,150,84.27%
ARECIBO,CAMUY,QUEBRADILLAS,12898,RAMON SAAVEDRA,237,232,170,73.28%
ARECIBO,CAMUY,QUEBRADILLAS,12914,S. U. HONORIO HERNANDEZ,543,533,406,76.17%
ARECIBO,CAMUY,QUEBRADILLAS,12922,S. U. LUIS MUÑOZ RIVERA,699,686,474,69.1%
ARECIBO,CAMUY,QUEBRADILLAS,12930,JUAN ALEJO ARIZMENDI,548,514,411,79.96%
ARECIBO,CAMUY,QUEBRADILLAS,17368,MANUEL RAMOS HERNANDEZ,527,516,350,67.83%
ARECIBO,MANATI,BARCELONETA,10686,EASTON,201,186,150,80.65%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,753,719,531,73.85%
ARECIBO,MANATI,BARCELONETA,10728,JOSE CORDERO ROSARIO,217,214,147,68.69%
ARECIBO,MANATI,BARCELONETA,10736,PRIMITIVO MARCHAND,162,145,115,79.31%
ARECIBO,MANATI,BARCELONETA,10744,IMBERY,283,275,227,82.55%
ARECIBO,MANATI,BARCELONETA,10785,AGUSTIN BALSEIRO,128,124,98,79.03%
ARECIBO,MANATI,BARCELONETA,10835,DR FRANCISCO VAZQUEZ COLON (S.U.MAGUEYES),268,268,214,79.85%
ARECIBO,MANATI,BARCELONETA,18176,ELÍ RAMOS ROSARIO,534,515,442,85.83%
ARECIBO,MANATI,BARCELONETA,18184,NUEVA INTERMEDIA,603,603,505,83.75%
ARECIBO,MANATI,BARCELONETA,18234,VICENTE ACEVEDO BALLESTER,340,333,164,49.25%
ARECIBO,MANATI,CIALES,11155,REPUBLICA DEL ECUADOR,97,93,55,59.14%
ARECIBO,MANATI,CIALES,11163,CRISTOBAL VICENS,130,120,93,77.5%
ARECIBO,MANATI,CIALES,11239,HATO VIEJO CUMBRE,139,132,94,71.21%
ARECIBO,MANATI,CIALES,11262,CONCEPCION PEREZ,80,78,67,85.9%
ARECIBO,MANATI,CIALES,11270,PESA PARCELAS,118,107,86,80.37%
ARECIBO,MANATI,CIALES,11312,S. U. TORIBIO RIVERA,262,257,233,90.66%
ARECIBO,MANATI,CIALES,11320,S. U. FRANCISCO SERRANO,290,290,233,80.34%
ARECIBO,MANATI,CIALES,17152,ZENON RIVERA,82,72,64,88.89%
ARECIBO,MANATI,CIALES,17319,JUAN ANTONIO CORRETJER,590,566,428,75.62%
ARECIBO,MANATI,CIALES,17889,JAIME COIRA ORTIZ  (S.U. BO. POZAS),277,268,207,77.24%
ARECIBO,MANATI,CIALES,18291,NUEVA ESCUELA URBANA DE CIALES,879,854,716,83.84%
ARECIBO,MANATI,FLORIDA,10710,JUANITA RAMIREZ GONZALEZ,494,463,344,74.3%
ARECIBO,MANATI,FLORIDA,10769,ADOLFO EGUEN,181,172,143,83.14%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,557,538,404,75.09%
ARECIBO,MANATI,FLORIDA,16287,FRANCISCO FRIAS MORALES,232,230,192,83.48%
ARECIBO,MANATI,FLORIDA,17459,RICARDO RODRIGUEZ TORRES,362,338,283,83.73%
ARECIBO,MANATI,FLORIDA,17764,LEONARDO VALENTIN TIRADO,318,318,233,73.27%
ARECIBO,MANATI,MANATI,12021,JOSE MELENDEZ AYALA I,143,140,101,72.14%
ARECIBO,MANATI,MANATI,12039,MICAELA ESCUDERO,192,182,155,85.16%
ARECIBO,MANATI,MANATI,12047,AUGUSTO COHEN,200,193,164,84.97%
ARECIBO,MANATI,MANATI,12062,FRANCISCO MENENDEZ BALBANE,160,151,145,96.03%
ARECIBO,MANATI,MANATI,12070,FELIX CORDOVA DAVILA,280,265,217,81.89%
ARECIBO,MANATI,MANATI,12088,FERNANDO CALLEJO,539,495,416,84.04%
ARECIBO,MANATI,MANATI,12096,JESUS T. PIÑERO,267,252,229,90.87%
ARECIBO,MANATI,MANATI,12104,JOSE DE DIEGO,186,180,166,92.22%
ARECIBO,MANATI,MANATI,12138,EVARISTO CAMACHO,175,164,131,79.88%
ARECIBO,MANATI,MANATI,12153,CLEMENTE RAMIREZ ARELLANO,340,331,287,86.71%
ARECIBO,MANATI,MANATI,12187,ANTONIO VELEZ ALVARADO,221,207,157,75.85%
ARECIBO,MANATI,MANATI,12195,S. U. FEDERICO FREYTES RODZ.,150,148,119,80.41%
ARECIBO,MANATI,MANATI,12211,JOSEFA RIVERA MIRANDA,109,104,81,77.88%
ARECIBO,MANATI,MANATI,12229,TEODOMIRO TABOAS,322,299,273,91.3%
ARECIBO,MANATI,MANATI,12237,CRUZ ROSA RIVAS,224,219,161,73.52%
ARECIBO,MANATI,MANATI,14779,JUAN A. SANCHEZ DAVILA,294,288,256,88.89%
ARECIBO,MANATI,MANATI,17350,PETRA CORRETJER DE ONEILL,564,548,354,64.6%
ARECIBO,MANATI,MANATI,17418,NUEVA JUAN S MARCHAND,624,624,514,82.37%
ARECIBO,VEGA ALTA,DORADO,18259,ELEMENTAL BO.HIGUILLAR (ECOLOGICA),344,333,236,70.87%
ARECIBO,VEGA ALTA,DORADO,71076,JACINTO LOPEZ MARTINEZ,481,446,317,71.08%
ARECIBO,VEGA ALTA,DORADO,71084,RICARDO ARROYO LARACUENTE,388,387,312,80.62%
ARECIBO,VEGA ALTA,DORADO,71092,JOSE SANTOS ALEGRIA,697,678,504,74.34%
ARECIBO,VEGA ALTA,DORADO,71118,LUIS MUÑOZ RIVERA,263,247,130,52.63%
ARECIBO,VEGA ALTA,DORADO,71126,TERESA PRESTAMO,178,171,135,78.95%
ARECIBO,VEGA ALTA,DORADO,71134,LUISA M. VALDERRAMA(SAN ANTONIO),349,332,282,84.94%
ARECIBO,VEGA ALTA,DORADO,71167,ESPINOSA KUILAN,189,176,125,71.02%
ARECIBO,VEGA ALTA,DORADO,71175,ELEMENTAL ALFONSO LOPEZ  (MAGUAYO),220,209,171,81.82%
ARECIBO,VEGA ALTA,DORADO,71183,INTERMEDIA PEDRO LOPEZ CANINO,301,290,229,78.97%
ARECIBO,VEGA ALTA,DORADO,74450,MARCELINO CANINO CANINO,414,414,340,82.13%
ARECIBO,VEGA ALTA,DORADO,76562,ELEMENTAL BO. RIO LAJAS,206,194,144,74.23%
ARECIBO,VEGA ALTA,VEGA ALTA,18267,JOSE PAGAN DE JESUS,390,366,318,86.89%
ARECIBO,VEGA ALTA,VEGA ALTA,71720,ELEMENTAL URBANA,259,240,219,91.25%
ARECIBO,VEGA ALTA,VEGA ALTA,71738,ANTONIO PAOLI,385,383,294,76.76%
ARECIBO,VEGA ALTA,VEGA ALTA,71746,RAFAEL HERNANDEZ,291,281,204,72.6%
ARECIBO,VEGA ALTA,VEGA ALTA,71753,IGNACIO MIRANDA,330,310,270,87.1%
ARECIBO,VEGA ALTA,VEGA ALTA,71761,APOLO SAN ANTONIO,642,635,536,84.41%
ARECIBO,VEGA ALTA,VEGA ALTA,71779,LADISLAO MARTINEZ,599,588,404,68.71%
ARECIBO,VEGA ALTA,VEGA ALTA,71787,JOSE D. ROSADO (BAJURA ALMIRANTE),177,170,126,74.12%
ARECIBO,VEGA ALTA,VEGA ALTA,71795,ELISA DAVILA (ESPINOSA ADENTRO),157,153,118,77.12%
ARECIBO,VEGA ALTA,VEGA ALTA,71852,S. U. ADELAIDA VEGA,512,502,412,82.07%
ARECIBO,VEGA ALTA,VEGA ALTA,76349,S. U. FRANCISCO FELICIE MARTINEZ (S.U. BREÑAS),668,659,518,78.6%
ARECIBO,VEGA ALTA,VEGA ALTA,79038,ILEANA DE GRACIA (SUP. URBANA),425,407,319,78.38%
ARECIBO,VEGA ALTA,VEGA BAJA,13912,NUEVA BRIGIDA ALVAREZ (ESPECIALIZADA),487,487,168,34.5%
ARECIBO,VEGA ALTA,VEGA BAJA,71860,JOSE G. PADILLA,347,327,295,90.21%
ARECIBO,VEGA ALTA,VEGA BAJA,71878,SAN VICENTE,316,307,214,69.71%
ARECIBO,VEGA ALTA,VEGA BAJA,71886,ANGEL SANDIN MARTINEZ,672,669,580,86.7%
ARECIBO,VEGA ALTA,VEGA BAJA,71894,LINO PADRO RIVERA,746,721,575,79.75%
ARECIBO,VEGA ALTA,VEGA BAJA,71902,CENTRO COMUNAL,227,214,183,85.51%
ARECIBO,VEGA ALTA,VEGA BAJA,71936,FERNANDO ROSARIO VAZQUEZ,263,250,225,90%
ARECIBO,VEGA ALTA,VEGA BAJA,71944,JOSE DE DIEGO,102,102,91,89.22%
ARECIBO,VEGA ALTA,VEGA BAJA,71951,MANUEL NEGRON COLLAZO I,193,182,150,82.42%
ARECIBO,VEGA ALTA,VEGA BAJA,71969,DR. JESUS M. ARMAIZ,168,156,123,78.85%
ARECIBO,VEGA ALTA,VEGA BAJA,71977,MANUEL PADILLA DAVILA,151,144,123,85.42%
ARECIBO,VEGA ALTA,VEGA BAJA,71985,EUGENIO MARIA DE HOSTOS,134,123,99,80.49%
ARECIBO,VEGA ALTA,VEGA BAJA,71993,ALMIRANTITO,100,89,78,87.64%
ARECIBO,VEGA ALTA,VEGA BAJA,72009,FEDERICO DEGETAU(ALMIRANTE SUR),89,82,71,86.59%
ARECIBO,VEGA ALTA,VEGA BAJA,72017,ALMIRANTE SUR 2,147,122,110,90.16%
ARECIBO,VEGA ALTA,VEGA BAJA,72033,ROSA M. RODRIQUEZ,97,88,66,75%
ARECIBO,VEGA ALTA,VEGA BAJA,72041,CABO CARIBE,94,88,79,89.77%
ARECIBO,VEGA ALTA,VEGA BAJA,72058,RAFAEL HERNANDEZ,308,297,226,76.09%
ARECIBO,VEGA ALTA,VEGA BAJA,72074,OFELIA DIAZ RODRIQUEZ,169,158,131,82.91%
ARECIBO,VEGA ALTA,VEGA BAJA,72082,ELEMENTAL MANUEL MARTINEZ DAVILA,596,583,494,84.73%
ARECIBO,VEGA ALTA,VEGA BAJA,72090,S. U. ALMIRANTE NORTE,524,522,427,81.8%
ARECIBO,VEGA ALTA,VEGA BAJA,73494,CENTRO ADIESTRAMIENTO ,124,68,62,91.18%
ARECIBO,VEGA ALTA,VEGA BAJA,74807,AGAPITO ROSARIO ROSARIO,611,588,430,73.13%
ARECIBO,VEGA ALTA,VEGA BAJA,75267,JUAN QUIRINDONGO MORELL(SUPERIOR),612,595,431,72.44%
BAYAMON,BAYAMON,BAYAMON I,70003,JOSE DAVILA SEMPRIT,203,193,161,83.42%
BAYAMON,BAYAMON,BAYAMON I,70011,VIRGILIO DAVILA,298,268,210,78.36%
BAYAMON,BAYAMON,BAYAMON I,70029,ARTURO SOMOHANO,145,140,124,88.57%
BAYAMON,BAYAMON,BAYAMON I,70037,DR. SANTOS J. SEPULVEDA,237,230,183,79.57%
BAYAMON,BAYAMON,BAYAMON I,70045,RAMON MORALES PENA,473,467,366,78.37%
BAYAMON,BAYAMON,BAYAMON I,70060,JUAN RAMON JIMENEZ,417,413,341,82.57%
BAYAMON,BAYAMON,BAYAMON I,70078,INTERMEDIA CACIQUE AGUEYBANA (ESPECIALIZADA),349,343,259,75.51%
BAYAMON,BAYAMON,BAYAMON I,70086,SUPERIOR CACIQUE AGUEYBANA (ESPECIALIZADA),226,221,162,73.3%
BAYAMON,BAYAMON,BAYAMON I,70094,LUDOVICO COSTOSO,70,48,33,68.75%
BAYAMON,BAYAMON,BAYAMON I,70102,JOSE JULIAN TAPIA DE LA ROSA,145,137,124,90.51%
BAYAMON,BAYAMON,BAYAMON I,70110,TOMAS CARRION MADURO,123,112,92,82.14%
BAYAMON,BAYAMON,BAYAMON I,70128,BRAULIO DUEÑO COLON,180,170,132,77.65%
BAYAMON,BAYAMON,BAYAMON I,70458,INES M. MENDOZA DE MUNOZ MARIN,466,456,287,62.94%
BAYAMON,BAYAMON,BAYAMON I,70474,RAUL JULIA,178,168,133,79.17%
BAYAMON,BAYAMON,BAYAMON I,70490,DR. JOSE A. DAVILA,424,423,331,78.25%
BAYAMON,BAYAMON,BAYAMON I,70516,DR. AGUSTIN STAHL,737,727,496,68.23%
BAYAMON,BAYAMON,BAYAMON I,70540,CARMEN GOMEZ TEJERA,346,342,227,66.37%
BAYAMON,BAYAMON,BAYAMON I,70581,LUIS PALES MATOS,464,458,332,72.49%
BAYAMON,BAYAMON,BAYAMON I,70599,FAUSTINO SANTIAGO MONTALVO,158,152,134,88.16%
BAYAMON,BAYAMON,BAYAMON I,70607,WILLIAN RIVERA PONCE,173,173,149,86.13%
BAYAMON,BAYAMON,BAYAMON I,72108,NIÑOS Y JOVENES SORDOCIEGOS,7,5,3,60%
BAYAMON,BAYAMON,BAYAMON I,73650,PEDRO P. CASABLANCA,152,135,110,81.48%
BAYAMON,BAYAMON,BAYAMON I,73676,MARIA E. RODRIGUEZ,388,387,304,78.55%
BAYAMON,BAYAMON,BAYAMON II,70276,MIGUEL MELENDEZ MUÑOZ,312,293,198,67.58%
BAYAMON,BAYAMON,BAYAMON II,70292,JULIO RESSY,336,329,301,91.49%
BAYAMON,BAYAMON,BAYAMON II,70359,JOSE ANDINO AMEZQUITA,170,163,128,78.53%
BAYAMON,BAYAMON,BAYAMON II,70391,DIEGO DE TORRES VARGAS,241,234,193,82.48%
BAYAMON,BAYAMON,BAYAMON II,70409,BERNARDO HUYKE,265,257,195,75.88%
BAYAMON,BAYAMON,BAYAMON II,70417,RAFAEL COLON SALGADO,322,309,237,76.7%
BAYAMON,BAYAMON,BAYAMON II,70425,CRISTOBAL COLON,365,364,281,77.2%
BAYAMON,BAYAMON,BAYAMON II,70433,CARLOS ORAMA PADILLA,340,327,253,77.37%
BAYAMON,BAYAMON,BAYAMON II,70441,PADRE RUFO M. FERNANDEZ,269,269,228,84.76%
BAYAMON,BAYAMON,BAYAMON II,70466,ANGEL MISLAN HUERTAS,174,166,113,68.07%
BAYAMON,BAYAMON,BAYAMON II,70482,JOSE CAMPECHE (ESPECIALIZADA),293,281,199,70.82%
BAYAMON,BAYAMON,BAYAMON II,70508,JESUS SANCHEZ ERAZO,605,605,363,60%
BAYAMON,BAYAMON,BAYAMON II,70524,JOSEFINA BARCELO,228,220,156,70.91%
BAYAMON,BAYAMON,BAYAMON II,70532,JOSEFINA MONSERRATE DE SELLES,218,207,153,73.91%
BAYAMON,BAYAMON,BAYAMON II,70557,MARIA E. BAS DE VAZQUEZ,402,393,312,79.39%
BAYAMON,BAYAMON,BAYAMON II,70565,DR. JOSE A. PADIN,105,59,43,72.88%
BAYAMON,BAYAMON,BAYAMON II,70573,MARIANO FELIU BALSEIRO,414,408,333,81.62%
BAYAMON,BAYAMON,BAYAMON II,70615,MIGUEL DE CERVANTES SAAVEDRA,354,320,251,78.44%
BAYAMON,BAYAMON,BAYAMON II,70623,TOMAS C. ONGAY,834,798,521,65.29%
BAYAMON,BAYAMON,BAYAMON II,70664,HERMINIA RIVERA (GUARAGUAO CARRETERA),402,382,307,80.37%
BAYAMON,BAYAMON,BAYAMON II,70672,ANDRES C. GONZALEZ,323,315,236,74.92%
BAYAMON,BAYAMON,BAYAMON III,70136,DR. HIRAM GONZALEZ,307,283,225,79.51%
BAYAMON,BAYAMON,BAYAMON III,70144,EPIFANIO FERNANDEZ VANGA,279,269,181,67.29%
BAYAMON,BAYAMON,BAYAMON III,70151,RAFAEL HERNANDEZ,349,306,263,85.95%
BAYAMON,BAYAMON,BAYAMON III,70169,RAFAEL MARTINEZ NADAL,299,286,223,77.97%
BAYAMON,BAYAMON,BAYAMON III,70177,JUAN MORELL CAMPOS,314,306,217,70.92%
BAYAMON,BAYAMON,BAYAMON III,70185,NOEL ESTRADA,233,225,165,73.33%
BAYAMON,BAYAMON,BAYAMON III,70193,AURELIO PEREZ MARTINEZ,169,144,125,86.81%
BAYAMON,BAYAMON,BAYAMON III,70201,PABLO CASALS (ESPECIALIZADA BELLAS ARTES),430,429,257,59.91%
BAYAMON,BAYAMON,BAYAMON III,70219,PAPA JUAN XXIII SUPERIOR,369,361,240,66.48%
BAYAMON,BAYAMON,BAYAMON III,70227,PAJAROS AMERICANOS,115,110,105,95.45%
BAYAMON,BAYAMON,BAYAMON III,70235,DOLORES ALVAREZ MONTAÑEZ,267,264,131,49.62%
BAYAMON,BAYAMON,BAYAMON III,70243,REXVILLE ELEMENTAL,406,386,326,84.46%
BAYAMON,BAYAMON,BAYAMON III,70250,MARTA VELEZ DE FAJARDO ,475,457,342,74.84%
BAYAMON,BAYAMON,BAYAMON III,70268,INTERMEDIA REXVILLE,576,567,484,85.36%
BAYAMON,BAYAMON,BAYAMON III,70284,FRANCISCO MANRIQUE CABRERA,485,470,333,70.85%
BAYAMON,BAYAMON,BAYAMON III,70326,VAN SCOY,271,259,213,82.24%
BAYAMON,BAYAMON,BAYAMON III,70334,S. U. CACIQUE MAJAGUA,363,355,285,80.28%
BAYAMON,BAYAMON,BAYAMON III,70367,MARIA VAZQUEZ DE UMPIERRE,211,211,178,84.36%
BAYAMON,BAYAMON,BAYAMON III,70680,JOSE M. TORRES,333,326,240,73.62%
BAYAMON,BAYAMON,BAYAMON III,76257,S.U. ANTONIO RIVERA,280,276,209,75.72%
BAYAMON,BAYAMON,BAYAMON III,77552,PAPA JUAN XXIII INTERMEDIA (ESPECIALIIZADA),403,403,210,52.11%
BAYAMON,BAYAMON,BAYAMON III,78733,FRANCISCO GAZTAMBIDE,421,407,314,77.15%
BAYAMON,COROZAL,COROZAL,70854,RAFAEL MARTINEZ NADAL,324,300,271,90.33%
BAYAMON,COROZAL,COROZAL,70862,ABRAHAM LINCOLN,205,190,157,82.63%
BAYAMON,COROZAL,COROZAL,70870,MANUEL BOU GALI,453,453,343,75.72%
BAYAMON,COROZAL,COROZAL,70888,EMILIO R. DELGADO,803,777,593,76.32%
BAYAMON,COROZAL,COROZAL,70904,FIDEL LOPEZ COLON,521,515,378,73.4%
BAYAMON,COROZAL,COROZAL,70912,GENARO BOU,214,204,125,61.27%
BAYAMON,COROZAL,COROZAL,70961,JOSE FERNANDEZ RUBIAL,136,129,103,79.84%
BAYAMON,COROZAL,COROZAL,70979,HIPOLITO CALDERO,207,201,143,71.14%
BAYAMON,COROZAL,COROZAL,70987,PALMARITO CENTRO,114,110,95,86.36%
BAYAMON,COROZAL,COROZAL,70995,MANA,94,91,82,90.11%
